,Model,Id,Vgs,Vds,Vbs,Vth,Vdsat,Vov,Gm,Gds,Gmb,gm/Id,Va,selfgain,Cgstot,Cgdtot,Cbdtot,Cbstot,Cbdj,Cbsj,Cgsov,Cgdov,Cgbov,Cgg,_Cgd,_Cgs,_Cdg,Cdd,_Cds,_Cbg,_Cbd,_Cbs,fT,fD
M1,cmosn,9.05e-05,0.893,1.22,-0.357,0.676,0.206,0.21699999999999997,0.00072,1.35e-05,0.000191,7.955801104972376,6.703703703703704,53.333333333333336,2.436e-14,7.5e-15,8.91e-15,1.399e-14,4.47e-15,5.78e-15,3.86e-15,3.86e-15,9.01e-19,2.55e-14,-3.64e-15,-2.05e-14,-1.13e-14,8.21e-15,9.54e-15,-3e-15,-4.44e-15,-8.21e-15,3596721877.782945,3444290923.5396647
M2,cmosn,9.07e-05,0.893,1.2,-0.357,0.677,0.206,0.21599999999999997,0.000721,1.36e-05,0.000191,7.949283351708931,6.669117647058823,53.014705882352935,2.436e-14,7.5e-15,8.949999999999999e-15,1.399e-14,4.49e-15,5.78e-15,3.86e-15,3.86e-15,9.01e-19,2.55e-14,-3.64e-15,-2.05e-14,-1.13e-14,8.22e-15,9.54e-15,-3e-15,-4.46e-15,-8.21e-15,3601717324.835421,3444932872.0881577
M3,cmosp,-9.05e-05,-0.923,-0.923,0.0,-0.663,-0.258,-0.26,0.000588,8.17e-06,0.000256,-6.497237569060773,-11.077111383108935,71.97062423500611,7.13e-14,2.74e-14,2.78e-14,5.12e-14,1.39e-14,1.83e-14,1.37e-14,1.37e-14,2.51e-18,7.7e-14,-1.37e-14,-5.76e-14,-3.43e-14,2.76e-14,2.93e-14,-8.38e-15,-1.39e-14,-3.29e-14,948157107.7815042,944330035.7016596
M4,cmosp,-9.07e-05,-0.923,-0.945,0.0,-0.663,-0.258,-0.26,0.000589,8.07e-06,0.000257,-6.49393605292172,-11.239157372986368,72.98636926889715,7.13e-14,2.74e-14,2.78e-14,5.12e-14,1.39e-14,1.83e-14,1.37e-14,1.37e-14,2.51e-18,7.7e-14,-1.37e-14,-5.76e-14,-3.43e-14,2.76e-14,2.93e-14,-8.38e-15,-1.39e-14,-3.29e-14,949769619.869568,945936039.1637372
M5,cmosp,-0.000428,-0.945,-1.25,0.0,-0.663,-0.275,-0.2819999999999999,0.00257,3.22e-05,0.00112,-6.0046728971962615,-13.29192546583851,79.8136645962733,2.8479999999999996e-13,1.096e-13,1.046e-13,2.052e-13,5.23e-14,7.32e-14,5.48e-14,5.48e-14,1e-17,3.08e-13,-5.48e-14,-2.3e-13,-1.37e-13,1.07e-13,1.17e-13,-3.35e-14,-5.23e-14,-1.32e-13,1037089766.0906974,1050406275.6707013
M6,cmosn,0.000428,0.811,1.25,0.0,0.569,0.218,0.2420000000000001,0.00311,5.91e-05,0.000974,7.266355140186916,7.241962774957699,52.622673434856175,9.760000000000001e-14,3e-14,3.76e-14,6.53e-14,1.89e-14,2.62e-14,1.54e-14,1.54e-14,3.6e-18,1.03e-13,-1.46e-14,-8.22e-14,-4.5e-14,3.38e-14,3.98e-14,-1.28e-14,-1.87e-14,-3.91e-14,3879089913.9168844,3661034563.72629
M7,cmosn,0.000181,0.811,0.357,0.0,0.584,0.208,0.2270000000000001,0.00137,6.76e-05,0.000429,7.569060773480662,2.6775147928994083,20.26627218934911,4.8909999999999997e-14,1.5160000000000002e-14,2.32e-14,3.26e-14,1.16e-14,1.31e-14,7.71e-15,7.71e-15,1.8e-18,5.16e-14,-7.45e-15,-4.12e-14,-2.27e-14,1.92e-14,2e-14,-6.25e-15,-1.16e-14,-1.95e-14,3403188263.3977933,3023745278.545231
M8,cmosn,0.0001,0.811,0.811,0.0,0.577,0.213,0.2340000000000001,0.000749,1.64e-05,0.000234,7.489999999999999,6.097560975609757,45.670731707317074,2.4459999999999998e-14,7.51e-15,1.0239999999999999e-14,1.631e-14,5.14e-15,6.55e-15,3.86e-15,3.86e-15,9.01e-19,2.57e-14,-3.65e-15,-2.06e-14,-1.13e-14,8.88e-15,9.96e-15,-3.18e-15,-5.1e-15,-9.76e-15,3728716058.049097,3435361739.9374533
